username,key,value
postnl,1,Wat is PostNL?
postnl,2,Wat nou als ik veel pakketten moet versturen?
postnl,3,Vertel me meer over de haalservice
postnl,4,Schrijf een mail voor een prospect over de haalservice
postnl,5,Wat zijn de duurzaamheidsvoordelen van de haalservice?
datastax,1,What is DataStax?
datastax,2,What is Vector Search?
datastax,3,Tell me more about why Astra DB is the best!
datastax,4,Write an email for a prospect about Astra DB
datastax,5,What advantages does Astra DB offer for Generative AI?
datastax,6,What strategies exits for meaningful agent interaction
datastax,7,How can I use Astra DB in a RAG application?
nnro,1,"Ce este NN România?"
nnro,2,"Câți clienți susține NN România?"
nnro,3,"Ce este Fondul de Pensii Facultative NN ACTIVE?"
vkb,1,"What are the life insurance offerings from Versicherungskammer Bayern?"
vkb,2,"Provide a table view that explains the differences of the life insurance offerings from Versicherungskammer Bayern?"
vkb,3,"Provide me Java code for my VKB API Gateway leveraging Spring cloud Gateway?"
